,Rank A: Real-Time Performance,Rank B: 1 Day Performance,Rank C: 5 Day Performance,Rank D: 1 Month Performance,Rank E: 3 Month Performance,Rank F: Year-to-Date (YTD) Performance,Rank G: 1 Year Performance,Rank H: 3 Year Performance,Rank I: 5 Year Performance,Rank J: 10 Year Performance
Consumer Discretionary,1.09%,0.08%,1.16%,4.05%,6.89%,16.22%,14.33%,33.99%,102.92%,191.91%
Consumer Staples,0.78%,0.05%,0.09%,2.30%,0.56%,6.14%,7.62%,12.80%,54.78%,92.43%
Energy,0.82%,-1.03%,-0.31%,-0.73%,7.15%,-10.77%,-7.11%,-20.66%,-6.50%,-9.42%
Financials,2.58%,-0.04%,0.15%,-2.46%,5.69%,12.29%,16.69%,32.39%,104.76%,14.88%
Health Care,0.71%,0.02%,0.65%,-0.57%,3.79%,18.57%,17.91%,18.27%,105.34%,133.56%
Industrials,1.49%,0.18%,1.39%,-1.62%,4.98%,12.04%,11.59%,22.46%,89.16%,76.26%
Information Technology,0.18%,-0.01%,1.75%,6.24%,13.44%,38.97%,39.55%,60.04%,142.71%,188.03%
Materials,1.17%,-0.61%,0.27%,-1.86%,7.37%,17.12%,17.74%,15.81%,59.55%,52.23%
Real Estate,-0.28%,-0.27%,0.01%,4.24%,2.35%,8.68%,12.51%,,,
Telecommunication Services,2.22%,0.39%,2.20%,-0.86%,-6.73%,-16.00%,-10.69%,-7.97%,1.60%,-4.67%
Utilities,0.43%,0.46%,0.51%,2.10%,1.82%,14.77%,18.95%,23.08%,62.49%,34.20%
